ProductID,Scan Date,Group,Category,Sub Category,Status,Product,Brand,Pack Size,Price,New Product,Sponsored Ad,On Special,On Half Price,Prices Dropped,On Low Price,Was Price,Gram,Gram Price,Image URL
97498,2022-10-03,bakery,christmas-bakery,christmas-bakery,1,Woolworths Delicate Lemon Myrtle Meringues 4 Pack,Woolworths,4 Pack,6.0,No,No,No,No,No,No,N/A, 1EA,$1.50 ,https://cdn1.woolworths.media/content/wowproductimages/medium/097498.jpg
193950,2022-10-03,bakery,christmas-bakery,christmas-bakery,1,Woolworths Classic Matured Christmas Pudding 100g,Woolworths,100g,3.0,Yes,No,No,No,No,No,N/A, 100G,$3.00 ,https://cdn1.woolworths.media/content/wowproductimages/medium/193950.jpg
193951,2022-10-03,bakery,christmas-bakery,christmas-bakery,1,Woolworths Classic Matured Christmas Pudding 700g,Woolworths,700g,7.0,Yes,No,No,No,No,No,N/A, 100G,$1.00 ,https://cdn1.woolworths.media/content/wowproductimages/medium/193951.jpg
199270,2022-10-03,bakery,christmas-bakery,christmas-bakery,1,Woolworths Shortcrust Fruit Mince Pies 6 Pack,Woolworths,6 Pack,2.75,Yes,No,No,No,No,No,N/A,N/A,N/A,https://cdn1.woolworths.media/content/wowproductimages/medium/199270.jpg
199271,2022-10-03,bakery,christmas-bakery,christmas-bakery,1,Woolworths Classic Plum Pudding 700g,Woolworths,700g,4.5,Yes,No,No,No,No,No,N/A, 100G,$0.64 ,https://cdn1.woolworths.media/content/wowproductimages/medium/199271.jpg
199655,2022-10-03,bakery,christmas-bakery,christmas-bakery,1,Woolworths Shortcrust Summer Berry Mince Pies 6 Pack,Woolworths,6 Pack,4.5,Yes,No,No,No,No,No,N/A,N/A,N/A,https://cdn1.woolworths.media/content/wowproductimages/medium/199655.jpg
207404,2022-10-03,bakery,christmas-bakery,christmas-bakery,0,Woolworths Sliced Iced Fruit Cake 500g,Woolworths,500g,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
207405,2022-10-03,bakery,christmas-bakery,christmas-bakery,1,Woolworths Festive Iced Fruit Cake 800g,Woolworths,800g,10.0,Yes,No,No,No,No,No,N/A, 100G,$1.25 ,https://cdn1.woolworths.media/content/wowproductimages/medium/207405.jpg
207596,2022-10-03,bakery,christmas-bakery,christmas-bakery,1,Woolworths Decadent Chocolate Rum Balls 8 Pack,Woolworths,8 Pack,5.0,Yes,No,No,No,No,No,N/A, 1EA,$0.63 ,https://cdn1.woolworths.media/content/wowproductimages/medium/207596.jpg
212751,2022-10-03,bakery,christmas-bakery,christmas-bakery,1,Woolworths Indulgent Mini Salted Caramel Tarts 6 Pack,Woolworths,6 Pack,6.0,Yes,No,No,No,No,No,N/A, 100G,$2.86 ,https://cdn1.woolworths.media/content/wowproductimages/medium/212751.jpg
605303,2022-10-03,bakery,christmas-bakery,christmas-bakery,0,Woolworths Decadent Chocolate Sponge Pudding 500g,Woolworths,500g,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
720770,2022-10-03,bakery,christmas-bakery,christmas-bakery,1,Woolworths Shortcrust Fruit Mince Pies 6 Pack,Woolworths,6 Pack,4.5,No,No,No,No,No,No,N/A, 1EA,$0.75 ,https://cdn1.woolworths.media/content/wowproductimages/medium/720770.jpg
825231,2022-10-03,bakery,christmas-bakery,christmas-bakery,1,Woolworths Decadent Chocolate Sponge Pudding 100g,Woolworths,100g,3.0,No,No,No,No,No,No,N/A, 100G,$3.00 ,https://cdn1.woolworths.media/content/wowproductimages/medium/825231.jpg
825235,2022-10-03,bakery,christmas-bakery,christmas-bakery,1,Woolworths Indulgent Salted Caramel Pudding 100g,Woolworths,100g,3.0,No,No,No,No,No,No,N/A, 100G,$3.00 ,https://cdn1.woolworths.media/content/wowproductimages/medium/825235.jpg
826016,2022-10-03,bakery,christmas-bakery,christmas-bakery,0,Woolworths Indulgent Salted Caramel Pudding 500g,Woolworths,500g,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
